"children_youth_justice","adult_carers_isolated_18","adult_carers_isolated_all_ages","adult_carers_not_isolated","alcohol_rx_18","alcohol_rx_all_ages","alcohol_admissions_f","alchol_admissions_m","alcohol_admissions_p","children_leaving_care","depression","domestic_abuse","self_harm_female","self_harm_male","self_harm_persons","opiates","lt_health_problems","lt_unepmloyment","looked_after_children","marital_breakup","old_pople_alone","alone","self_reported_well_being","smi","social_care_mh","homeless","alcohol_rx","drug_rx_non_opiate","drug_rx_opiate","suicide_rate","unemployment"
34.2,36.7,39.6,3.48449578986694,6.36549127798373,1090.14,2136.05,1549.55,9.86296940054165,41.4085533507801,4.78664261711801,21.6449216405548,112.831619415784,81.0505910142812,95.3474736829565,9.00964423656975,16.3841838298971,0.443272844242553,69.5663696293106,12.792396067232,3.9734776988767,10.3920476363027,20.36,0.760530421216849,196.232339089482,12.4980077564681,35.30701754,35.4368932,9.297052154,6.91535818905147,6.9
30.6,35.8,44.9,1.36617735212524,3.24467121129745,683.55,1510.28,1055.86,3.73473301705865,19.7023260003152,5.97561448148483,21.6449216405548,139.187596981075,59.8225916646374,98.6641251663655,6.71857314906935,14.0025141279399,0.261633566978193,35.4641868005674,9.9382602285293,4.08596783296511,10.7649809839562,21.47,1.00715996438827,485.014140856729,2.85561547987197,38.68613139,30.37383178,8.347826087,9.74882568414402,4.9
33.5,47.5,45,3.12853553729544,6.89446371376821,1077.81,2025.59,1519.05,8.3417593528817,27.1717253039208,10.2986536107711,29.9772015850327,294.474635501276,219.312691800804,255.531817156113,12.1149843572055,23.9026732000986,0.535086378229628,56.3561710007246,12.9306820293626,5.71493297435294,12.9537899877581,20.86,0.749225812993861,826.152430352213,0.134237197127324,53.65296804,54.77707006,7.163886163,10.7563335919646,5.3
42.9,49.5,49.1,2.10021408633912,5.20311102680144,776.51,1560.85,1135.87,5.55119434787485,14.4104677637836,7.61373184491658,17.2552710308201,326.359703367858,118.106792295865,220.631764118741,8.4558607428058,16.0752431597128,0.113215142315627,41.7903565149725,10.0519670306407,5.87844237749813,13.2576760385229,22.36,0.80918448915938,174.184903974989,0.907017380053621,39.18918919,23.07692308,6.335616438,9.97631016044282,4.2
31,44,46.9,1.46984448097105,5.08913895562018,814.41,1615.17,1182.83,4.43189224418857,32.9719606446678,9.32733786649119,21.4049968908943,261.110944887216,191.183034369871,223.639077850769,11.809021300997,16.002768623118,0.615301786297998,67.2627997151223,11.9654249191633,4.92830149609153,11.9040223637211,22.24,1.09460604991722,158.8782172839,4.26043584110207,35.68627451,32.14285714,7.5,9.21754836922536,4.5
36.8,38.1,45.7,1.64930555555556,3.27690972222222,736.9,1441.65,1046.66,4.79203324473063,33.0486977026689,6.40678528014145,21.6449216405548,95.8736112262241,61.5710407584942,78.2072777487784,4.70851434666112,15.9713272154381,0.219983714638439,46.4468183929401,11.0415277258162,5.19354531359624,11.1688075460585,21.46,0.737663978689707,796.033159865902,5.02826446797214,49.48805461,60.60606061,10.12658228,7.68905177898205,4.2
28.3,37,37.3,2.56980280273315,8.13791234347703,1043.33,2080.02,1518.6,7.18625759507914,31.1729482212046,7.4774781393894,22.3660077905046,211.786624177638,146.836395706206,178.7569274206,13.4783242713997,18.4429357575871,1.35845146361737,63.9309616061994,10.7198172781739,4.52611174414999,12.4790035059152,19.38,1.127345552147,251.583032105578,8.2566786783691,33.83308346,32.44274809,5.503329416,10.0197957965898,8.7
45.7,45.9,48.5,2.62658286177723,9.61237166608298,1234.92,2550.89,1853.06,3.85932488992771,36.6194972666161,9.55143734473128,21.7236368813571,292.553935568137,247.231358865398,268.406718504217,14.4725944488097,20.232695319651,0.495405252384478,91.5487431665402,11.996782235109,4.27149979084806,11.9449758960961,21.49,1.21021181613151,152.320346613411,0.670391061452514,53.84615385,53.27102804,10.2244389,13.1261579368159,6.3
35.7,37.7,50.5,5.13917862674701,11.2811238148105,1385.96,2583.69,1951.66,9.50961606699312,74.9520655394806,13.5439272215116,21.7236368813571,671.745572539707,489.04062609345,578.902400574234,19.9501811594203,25.5735050857002,0.722888756747933,163.848701411888,16.3017677957823,6.99478109596985,17.7196288779356,23.27,1.44100276085412,665.154232637693,1.33267216264799,37.17391304,47.51381215,5.876865672,15.9931853975555,6.6
31.4,45,38.5,2.95056750646748,7.61181159251404,1050.81,1940.69,1464.37,6.03826352253226,25.612438605478,9.1116945066447,22.4798235258081,258.137604071379,195.892393926875,225.35119313526,15.361996388701,19.8395150043716,0.513716223158327,84.3703859945159,12.4459514814983,5.26568554328646,13.4947517782103,24.73,0.932163093870111,872.149938593525,1.94356163926495,34.31372549,34.86238532,5.196850394,10.9105418930429,6
